"Key"	"Source string"	"Context"	"Translation"
"hbui.RealmsStories.feedEvent.medium.FirstConduit"	"%1$s now commands the sea"	"Original Translation
zh_CN: %1$s 现在可以命令大海
zh_TW: %1$s 現在是大海的主宰！"	""
"hbui.RealmsStories.feedEvent.medium.FirstCraftedNetherite"	"%1$s upgraded to Netherite"	"Original Translation
zh_CN: %1$s 已升级为下界合金
zh_TW: %1$s 已升級為獄髓錠"	""
"hbui.RealmsStories.feedEvent.medium.FirstCraftedNetherite.grouped"	"%1$s upgraded to Netherite"	"Original Translation
zh_CN: %1$s 已升级为下界合金
zh_TW: %1$s 已升級為獄髓錠"	""
"hbui.RealmsStories.feedEvent.medium.FirstDiamondFound"	"%1$s found a diamond"	"Original Translation
zh_CN: %1$s 找到了一颗钻石
zh_TW: %1$s 發現了一顆鑽石"	""
"hbui.RealmsStories.feedEvent.medium.FirstEnchantment"	"%1$s discovered enchanting"	"Original Translation
zh_CN: %1$s 发现了附魔
zh_TW: %1$s 發現了附魔"	""
"hbui.RealmsStories.feedEvent.medium.FirstEnchantment.grouped"	"%1$s discovered enchanting"	"Original Translation
zh_CN: %1$s 发现了附魔
zh_TW: %1$s 發現了附魔"	""
"hbui.RealmsStories.feedEvent.medium.FirstEndPortal"	"%1$s traveled to the End?"	"Original Translation
zh_CN: %1$s 前往末地了？
zh_TW: %1$s 去終界了嗎？"	""
"hbui.RealmsStories.feedEvent.medium.FirstFullyExploredMap"	"%1$s started mapping the world"	"Original Translation
zh_CN: %1$s 开始绘制世界地图了
zh_TW: %1$s 已開始繪製世界地圖"	""
"hbui.RealmsStories.feedEvent.medium.FirstMushroomFieldFound"	"%1$s discovered a Mushroom Field"	"Original Translation
zh_CN: %1$s 发现了一个蘑菇田
zh_TW: %1$s 發現了一處蘑菇田"	""
"hbui.RealmsStories.feedEvent.medium.FirstNetherFortressFound"	"%1$s discovered a Nether Fortress"	"Original Translation
zh_CN: %1$s 发现了一个地狱要塞
zh_TW: %1$s 發現了一座地獄要塞"	""
"hbui.RealmsStories.feedEvent.medium.FirstNetherPortalLit"	"%1$s created a portal to the Nether"	"Original Translation
zh_CN: %1$s 创造了一个通往下界的传送门
zh_TW: %1$s 建立了通往地獄的傳送門"	""
"hbui.RealmsStories.feedEvent.medium.FirstPeakMountainFound"	"%1$s scaled a Mountain Peak"	"Original Translation
zh_CN: %1$s 攀登了一座山峰
zh_TW: %1$s 登上了一座山峰"	""
"hbui.RealmsStories.feedEvent.medium.FirstPillagerOutpostFound"	"%1$s discovered a Pillager Outpost"	"Original Translation
zh_CN: %1$s 发现了一个掠夺者前哨
zh_TW: %1$s 發現了一座劫掠者前哨"	""
"hbui.RealmsStories.feedEvent.medium.FirstPoweredBeacon"	"%1$s powered a Beacon!"	"Original Translation
zh_CN: %1$s 为信标供能了
zh_TW: %1$s 為燈塔提供了能源！"	""
"hbui.RealmsStories.feedEvent.medium.FirstWoodlandMansionFound"	"%1$s discovered a Woodland Mansion"	"Original Translation
zh_CN: %1$s 发现了一座林地府邸
zh_TW: %1$s 發現了一座林地府邸"	""
"hbui.RealmsStories.feedEvent.medium.NamedMob"	"%1$s has a new friend, %2$s"	"Original Translation
zh_CN: %1$s 有了一个新朋友，%2$s
zh_TW: %1$s 有了一個新朋友，%2$s"	""
"hbui.RealmsStories.feedEvent.medium.NamedMobDies"	"%1$s met an untimely death"	"Original Translation
zh_CN: %1$s 遭遇了不幸的死亡
zh_TW: %1$s 英年早逝"	""
"hbui.RealmsStories.feedEvent.medium.NewMember"	"%1$s joined the Realm"	"Original Translation
zh_CN: %1$s 加入了 Realm
zh_TW: %1$s 加入了 Realm"	""
"hbui.RealmsStories.feedEvent.medium.NewMember.grouped"	"%1$s joined the Realm"	"Original Translation
zh_CN: %1$s 加入了 Realm
zh_TW: %1$s 加入了 Realm"	""
"hbui.RealmsStories.feedEvent.medium.PillagerCaptainDefeated"	"%1$s defeated a Pillager Captain"	"Original Translation
zh_CN: %1$s 打败了一名掠夺者队长
zh_TW: %1$s 擊敗了一名劫掠者隊長"	""
"hbui.RealmsStories.feedEvent.medium.RealmCreated"	"A new adventure has begun! What will the story of this Realm be? You decide."	"Original Translation
zh_CN: 新的冒险已开始！这个 Realm 的故事将会如何展开呢？由你决定。
zh_TW: 新的冒險開始了！這個 Realm 的故事會是什麼？將由您決定。"	""
"hbui.RealmsStories.feedEvent.medium.SlotSwitch"	"The world changed to %1$s"	"Original Translation
zh_CN: 世界已更改为 %1$s
zh_TW: 世界已經變成了 %1$s"	""
"hbui.RealmsStories.feedEvent.narration.textblock"	"Text block"	"Original Translation
zh_CN: 文字方块
zh_TW: 文字方塊"	""
"hbui.RealmsStories.feedEvent.playersInvolved"	"Players involved"	"Original Translation
zh_CN: 参与的玩家
zh_TW: 參與的玩家"	""
"hbui.RealmsStories.feedEvent.title"	"Realm Event"	"Original Translation
zh_CN: Realm 活动
zh_TW: Realm 活動"	""
"hbui.RealmsStories.feedPost.collapsed"	"Collapsed"	"Original Translation
zh_CN: 已折叠
zh_TW: 已摺疊"	""
"hbui.RealmsStories.feedPost.commentPostGroup"	"Comments"	"Original Translation
zh_CN: 评论
zh_TW: 留言"	""
"hbui.RealmsStories.feedPost.comments"	"Comments"	"Original Translation
zh_CN: 评论
zh_TW: 留言"	""
"hbui.RealmsStories.feedPost.commentsHint"	"This will open the comment section of this post"	"Original Translation
zh_CN: 这将打开本篇帖子的评论区
zh_TW: 這將開啟此貼文的留言部分"	""
"hbui.RealmsStories.feedPost.commentsNarration"	"Number of comments in the post"	"Original Translation
zh_CN: 帖子中的评论数
zh_TW: 貼文中的留言數量"	""
"hbui.RealmsStories.feedPost.enumeration"	"%1$s of %2$s"	"Original Translation
zh_CN: 第 %1$s 个，共 %2$s 个
zh_TW: %1$s/%2$s"	""
"hbui.RealmsStories.feedPost.hasImage"	"Story contains an image. Click to view the full screen image"	"Original Translation
zh_CN: 故事包含一个图像。点击以查看全屏图像
zh_TW: 限時動態包含圖像。按一下以檢視全螢幕圖像"	""
"hbui.RealmsStories.feedPost.like"	"Like"	"Original Translation
zh_CN: 赞
zh_TW: 按讚"	""
"hbui.RealmsStories.feedPost.likeCommentHint"	"Click to like this comment"	"Original Translation
zh_CN: 点击以点赞此评论
zh_TW: 按一下以對此留言按讚"	""
"hbui.RealmsStories.feedPost.likeHint"	"Click to like this story"	"Original Translation
zh_CN: 点击以点赞此故事
zh_TW: 按一下以對此限時動態按讚"	""
"hbui.RealmsStories.feedPost.likeStoryComment"	"Currently %1$s."	"Original Translation
zh_CN: 当前为 %1$s。
zh_TW: 目前 %1$s。"	""
"hbui.RealmsStories.feedPost.liked"	"Liked"	"Original Translation
zh_CN: 已点赞
zh_TW: 已按讚"	""
"hbui.RealmsStories.feedPost.likesNarration"	"Number of likes in the Post"	"Original Translation
zh_CN: 帖子中的点赞数
zh_TW: 貼文中的按讚數"	""
"hbui.RealmsStories.feedPost.offline"	"Offline"	"Original Translation
zh_CN: 离线
zh_TW: 離線"	""
"hbui.RealmsStories.feedPost.online"	"Online"	"Original Translation
zh_CN: 在线
zh_TW: 線上"	""
"hbui.RealmsStories.feedPost.options"	"Options"	"Original Translation
zh_CN: 选项
zh_TW: 選項"	""
"hbui.RealmsStories.feedPost.options.comment.delete"	"Delete comment"	"Original Translation
zh_CN: 删除评论
zh_TW: 刪除留言"	""
"hbui.RealmsStories.feedPost.options.comment.delete.cancel"	"Go back"	"Original Translation
zh_CN: 返回
zh_TW: 返回"	""
"hbui.RealmsStories.feedPost.options.comment.delete.cancel.description"	"This will take you back to the previous screen"	"Original Translation
zh_CN: 这将带你返回上一个界面
zh_TW: 這樣做會讓您返回上一個畫面"	""
"hbui.RealmsStories.feedPost.options.comment.delete.message"	"This will delete the comment from the story... Forever!"	"Original Translation
zh_CN: 这将从故事中删除此评论…永久删除！
zh_TW: 這將會在故事中刪除這個留言…永久刪除！"	""
"hbui.RealmsStories.feedPost.options.comment.delete.message.narration"	"Textblock. This will delete the comment from the story... Forever!"	"Original Translation
zh_CN: 文本方块。这将从故事中删除此评论…永久删除！
zh_TW: 文字區域。這將從故事中刪除這則留言…永遠刪除！"	""
"hbui.RealmsStories.feedPost.options.comment.delete.title"	"Delete comment?"	"Original Translation
zh_CN: 删除评论？
zh_TW: 是否要刪除留言？"	""
"hbui.RealmsStories.feedPost.options.delete"	"Delete Story"	"Original Translation
zh_CN: 删除故事
zh_TW: 刪除故事"	""
"hbui.RealmsStories.feedPost.options.delete.cancel"	"Go back"	"Original Translation
zh_CN: 返回
zh_TW: 返回"	""
"hbui.RealmsStories.feedPost.options.delete.cancel.description"	"This will take you back to the previous screen"	"Original Translation
zh_CN: 这将带你返回上一个界面
zh_TW: 這樣做會讓您返回上一個畫面"	""
"hbui.RealmsStories.feedPost.options.delete.message"	"This will delete the story from the feed... Forever!"	"Original Translation
zh_CN: 这将从订阅源中删除此故事...永久删除！
zh_TW: 這將會在動態中刪除這個故事…永久刪除！"	""
"hbui.RealmsStories.feedPost.options.delete.message.narration"	"Textblock. This will delete the story from the feed... Forever!"	"Original Translation
zh_CN: 文本方块。这将从订阅源中删除此故事...永久删除！
zh_TW: 文字區域。這將從動態中刪除這個故事…永久刪除！"	""
"hbui.RealmsStories.feedPost.options.delete.title"	"Delete Story?"	"Original Translation
zh_CN: 删除故事？
zh_TW: 是否要刪除故事？"	""
"hbui.RealmsStories.feedPost.options.enumeration"	"%1$s of %2$s"	"Original Translation
zh_CN: 第 %1$s 个，共 %2$s 个
zh_TW: %1$s/%2$s"	""
"hbui.RealmsStories.feedPost.options.failed.close"	"Close"	"Original Translation
zh_CN: 关闭
zh_TW: 關閉"	""
"hbui.RealmsStories.feedPost.options.failed.comment.close"	"Close"	"Original Translation
zh_CN: 关闭
zh_TW: 關閉"	""
"hbui.RealmsStories.feedPost.options.failed.comment.deleteMessage"	"Unable to delete comment. Please check your internet connection and try again."	"Original Translation
zh_CN: 无法删除评论。请检查你的网络连接并重试。
zh_TW: 無法刪除留言。請檢查網際網路連線，然後再試一次。"	""
"hbui.RealmsStories.feedPost.options.failed.comment.deleteTitle"	"Failed to delete comment"	"Original Translation
zh_CN: 无法删除评论
zh_TW: 刪除留言失敗"	""
"hbui.RealmsStories.feedPost.options.failed.deleteMessage"	"Unable to delete story. Please check your internet connection and try again."	"Original Translation
zh_CN: 无法删除故事。请检查您的 Internet 连接，然后重试。
zh_TW: 無法刪除故事。請檢查網際網路連線，然後再試一次。"	""
"hbui.RealmsStories.feedPost.options.failed.deleteTitle"	"Failed to delete story"	"Original Translation
zh_CN: 删除故事失败
zh_TW: 刪除故事失敗"	""
"hbui.RealmsStories.feedPost.options.failed.notifyMessage"	"Unable to notify Realm owner. Please check your internet connection and try again."	"Original Translation
zh_CN: 无法通知 Realm 所有者。请检查你的网络连接并重试。
zh_TW: 無法通知 Realm 所有者。請檢查您的網際網路連線，然後再試一次。"	""
"hbui.RealmsStories.feedPost.options.failed.notifyTitle"	"Failed to notify Realm owner"	"Original Translation
zh_CN: 通知 Realm 所有者失败
zh_TW: 無法通知 Realm 擁有者"	""
"hbui.RealmsStories.feedPost.options.failed.reportMessage"	"Unable to report to Xbox Enforcement. Please check your internet connection and try again."	"Original Translation
zh_CN: 无法向 Xbox 强制执行部门举报。请检查你的网络连接并重试。
zh_TW: 無法向 Xbox Enforcement 回報。請檢查您的網際網路連線，然後再試一次。"	""
"hbui.RealmsStories.feedPost.options.failed.reportTitle"	"Failed to report to Xbox Enforcement"	"Original Translation
zh_CN: 无法举报至 Xbox 强制执行部门
zh_TW: 向 Xbox Enforcement 回報失敗"	""
"hbui.RealmsStories.feedPost.options.notify"	"Notify Realm owner"	"Original Translation
zh_CN: 通知 Realm 所有者
zh_TW: 通知 Realm 擁有者"	""
"hbui.RealmsStories.feedPost.options.notify.cancel"	"Go back"	"Original Translation
zh_CN: 返回
zh_TW: 返回"	""
"hbui.RealmsStories.feedPost.options.notify.cancel.description"	"This will take you back to the previous screen"	"Original Translation
zh_CN: 这将带你返回上一个界面
zh_TW: 這樣做會讓您返回上一個畫面"	""
"hbui.RealmsStories.feedPost.options.notify.confirm"	"Yes, send notification"	"Original Translation
zh_CN: 是，发送通知
zh_TW: 是，請傳送通知"	""
"hbui.RealmsStories.feedPost.options.notify.message"	"The Realm owner will be notified about this story. Are you sure you want to send the notification?"	"Original Translation
zh_CN: Realm 所有者将收到关于此故事的通知。您确定要发送通知吗？
zh_TW: Realm 擁有者將收到有關此故事的通知。您確定要傳送通知嗎？"	""
"hbui.RealmsStories.feedPost.options.notify.message.comment"	"The Realm owner will be notified about this comment. Are you sure you want to send the notification?"	"Original Translation
zh_CN: Realm 所有者将收到关于此评论的通知。您确定要发送通知吗？
zh_TW: Realm 擁有者將收到有關此留言的通知。您確定要傳送通知嗎？"	""
"hbui.RealmsStories.feedPost.options.notify.message.comment.narration"	"Textblock. The Realm owner will be notified about this comment. Are you sure you want to send the notification?"	"Original Translation
zh_CN: 文本方块。Realm 所有者将收到关于此评论的通知。您确定要发送通知吗？
zh_TW: 文字區域。Realm 擁有者將收到有關此留言的通知。確定要傳送通知嗎？"	""
"hbui.RealmsStories.feedPost.options.notify.message.narration"	"Textblock. The Realm owner will be notified about this story. Are you sure you want to send the notification?"	"Original Translation
zh_CN: 文本方块。Realm 所有者将收到关于此故事的通知。您确定要发送通知吗？
zh_TW: 文字區域。Realm 擁有者將收到有關此故事的通知。你確定要傳送通知嗎？"	""
"hbui.RealmsStories.feedPost.options.notify.title"	"Notify Realm owner?"	"Original Translation
zh_CN: 通知 Realm 所有者？
zh_TW: 是否要通知 Realm 擁有者？"	""
"hbui.RealmsStories.feedPost.options.notify.toast"	"Realm owner notified"	"Original Translation
zh_CN: 已通知 Realm 所有者
zh_TW: 已通知 Realm 擁有者"	""
"hbui.RealmsStories.feedPost.options.report"	"Report to Xbox Enforcement"	"Original Translation
zh_CN: 报告至 Xbox 强制执行部门
zh_TW: 向 Xbox Enforcement 回報"	""
"hbui.RealmsStories.feedPost.optionsHint"	"Click to open options menu"	"Original Translation
zh_CN: 单击以打开选项菜单
zh_TW: 按一下開啟選項功能表"	""
"hbui.RealmsStories.feedPost.postActions"	"Post actions"	"Original Translation
zh_CN: 发布动作
zh_TW: 貼文操作"	""
"hbui.RealmsStories.feedPost.postActionsRole"	"Group"	"Original Translation
zh_CN: 组
zh_TW: 群組"	""
"hbui.RealmsStories.feedPost.postGroupEnumeration"	"%1$s of %2$s"	"Original Translation
zh_CN: 第 %1$s 个，共 %2$s 个
zh_TW: %1$s/%2$s"	""
"hbui.RealmsStories.feedPost.postGroupRole"	"Group"	"Original Translation
zh_CN: 组
zh_TW: 群組"	""
"hbui.RealmsStories.feedPost.role.button"	"Button"	"Original Translation
zh_CN: 按钮
zh_TW: 按鈕"	""
"hbui.RealmsStories.feedPost.role.textBlock"	"TextBlock"	"Original Translation
zh_CN: 文本块
zh_TW: 文字方塊"	""
"hbui.RealmsStories.feedPost.storyComment"	"Story comment"	"Original Translation
zh_CN: 故事评论
zh_TW: 限時動態留言"	""
"hbui.RealmsStories.feedPost.storyCommentDetails"	"%1$s's comment. %2$s"	"Original Translation
zh_CN: %1$s 的评论。%2$s
zh_TW: %1$s 的留言。%2$s"	""
"hbui.RealmsStories.feedPost.storyPost"	"Story post"	"Original Translation
zh_CN: 故事帖子
zh_TW: 限時動態貼文"	""
"hbui.RealmsStories.feedPost.storyPostDetails"	"By %1$s. %2$s"	"Original Translation
zh_CN: 按 %1$s。%2$s
zh_TW: 作者：%1$s。%2$s"	""
"hbui.RealmsStories.feedPost.storyPostGroup"	"Story post"	"Original Translation
zh_CN: 故事帖子
zh_TW: 限時動態貼文"	""
"hbui.RealmsStories.feedPost.totalComment"	"%1$s comment"	"Original Translation
zh_CN: %1$s 评论
zh_TW: %1$s 則留言"	""
"hbui.RealmsStories.feedPost.totalComments"	"%1$s comments"	"Original Translation
zh_CN: %1$s评论
zh_TW: %1$s評論"	""
"hbui.RealmsStories.feedPost.totalLike"	"%1$s like"	"Original Translation
zh_CN: %1$s 点赞
zh_TW: %1$s 個讚"	""
"hbui.RealmsStories.feedPost.totalLikes"	"%1$s likes"	"Original Translation
zh_CN: %1$s 点赞
zh_TW: %1$s 個讚"	""
"hbui.RealmsStories.feedPost.totalReactions"	"%1$s reactions"	"Original Translation
zh_CN: %1$s反应
zh_TW: %1$s反應"	""
"hbui.RealmsStories.feedPost.unlikeCommentHint"	"Click to remove like from this comment"	"Original Translation
zh_CN: 点击以移除此评论的点赞
zh_TW: 按一下以收回對此留言的讚"	""
"hbui.RealmsStories.feedPost.unlikeHint"	"Click to remove like from this story"	"Original Translation
zh_CN: 点击以移除此故事的点赞
zh_TW: 按一下以收回對此限時動態的讚"	""
"hbui.RealmsStories.feedPost.unread"	"Unread Post"	"Original Translation
zh_CN: 未读帖子
zh_TW: 未讀貼文"	""
"hbui.RealmsStories.feedPost.unreadPost"	"Unread post"	"Original Translation
zh_CN: 未读帖子
zh_TW: 未讀貼文"	""
"hbui.RealmsStories.feedPost.viewComments"	"View comments"	"Original Translation
zh_CN: 查看评论
zh_TW: 檢視留言"	""
"hbui.RealmsStories.feedPost.viewScreenshot"	"View screenshot"	"Original Translation
zh_CN: 查看屏幕截图
zh_TW: 檢視螢幕擷取畫面"	""
"hbui.RealmsStories.header"	"%1$s Stories"	"Original Translation
zh_CN: %1$s 故事
zh_TW: %1$s 故事"	""
"hbui.RealmsStories.home"	"Home"	"Original Translation
zh_CN: 首页
zh_TW: 首頁"	""
"hbui.RealmsStories.home.banner.NewStories"	"There were %1$s new stories while you were away!!"	"Original Translation
zh_CN: 当你离开的时候，有 %1$s 个新故事！
zh_TW: 您離開的時候，我們推出了 %1$s 個新的故事！"	""
"hbui.RealmsStories.home.banner.NewStory"	"There was a new story while you were away!"	"Original Translation
zh_CN: 当你离开的时候，有一个新的故事！
zh_TW: 您離開的時候，我們推出了一個新的故事！"	""
"hbui.RealmsStories.home.banner.Welcome"	"Welcome to Realms Stories"	"Original Translation
zh_CN: 欢迎使用 Realms 故事
zh_TW: 歡迎來到 Realms Stories"	""
"hbui.RealmsStories.invitePlayerToRealm"	"Invite player to Realm"	"Original Translation
zh_CN: 邀请玩家进入 Realm
zh_TW: 邀請玩家加入 Realm"	""
"hbui.RealmsStories.likePost"	"Like post"	"Original Translation
zh_CN: 点赞帖子
zh_TW: 按讚貼文"	""
"hbui.RealmsStories.members"	"Members"	"Original Translation
zh_CN: 成员
zh_TW: 成員"	""
"hbui.RealmsStories.members.allMembers"	"All members"	"Original Translation
zh_CN: 所有成员
zh_TW: 所有成員"	""
"hbui.RealmsStories.members.enumeration"	"%1$s of %2$s"	"Original Translation
zh_CN: 第 %1$s 个，共 %2$s 个
zh_TW: %1$s/%2$s"	""
"hbui.RealmsStories.members.filter.title"	"Filter members of the Realm"	"Original Translation
zh_CN: 筛选 Realm 成员
zh_TW: 篩選 Realm 的成員"	""
"hbui.RealmsStories.members.fromAtoZ"	"From A to Z"	"Original Translation
zh_CN: 从 A 到 Z
zh_TW: 從 A 到 Z"	""
"hbui.RealmsStories.members.fromZtoA"	"From Z to A"	"Original Translation
zh_CN: 从 Z 到 A
zh_TW: 從 Z 到 A"	""
"hbui.RealmsStories.members.inRealmMembers"	"Members playing on Realm"	"Original Translation
zh_CN: 正在 Realm 上游玩的成员
zh_TW: 在 Realm 上遊玩的成員"	""
"hbui.RealmsStories.members.leastRecentlyPlayed"	"Least recently played"	"Original Translation
zh_CN: 最近玩得最少的
zh_TW: 最近最少玩的"	""
"hbui.RealmsStories.members.manage"	"Manage members"	"Original Translation
zh_CN: 管理成员
zh_TW: 管理成員"	""
"hbui.RealmsStories.members.member"	"Member"	"Original Translation
zh_CN: 成员
zh_TW: 成員"	""
"hbui.RealmsStories.members.noMembersFound"	"No members found"	"Original Translation
zh_CN: 未找到成员
zh_TW: 未找到成員"	""
"hbui.RealmsStories.members.onlineMembers"	"Online members"	"Original Translation
zh_CN: 在线成员
zh_TW: 線上成員"	""
"hbui.RealmsStories.members.operator"	"Operator"	"Original Translation
zh_CN: 管理员
zh_TW: 操作者"	""
"hbui.RealmsStories.members.realmMembers"	"Realm members"	"Original Translation
zh_CN: Realm 成员
zh_TW: Realm 成員"	""
"hbui.RealmsStories.members.realmOwner"	"Realm owner"	"Original Translation
zh_CN: Realm 拥有者
zh_TW: Realm 擁有者"	""
"hbui.RealmsStories.members.recentlyPlayed"	"Recently played"	"Original Translation
zh_CN: 最近玩过的
zh_TW: 最近玩過的"	""
"hbui.RealmsStories.members.search"	"Search members of the Realm"	"Original Translation
zh_CN: 搜索 Realm 成员
zh_TW: 搜尋 Realm 的成員"	""
"hbui.RealmsStories.members.searchResult.hint.cleared"	"Search filter has been cleared"	"Original Translation
zh_CN: 搜索筛选器已清除
zh_TW: 搜尋篩選條件已清除"	""
"hbui.RealmsStories.members.searchResult.hint.multiResult"	"%1$s search results"	"Original Translation
zh_CN: %1$s 条搜索结果
zh_TW: %1$s 個搜尋結果"	""
"hbui.RealmsStories.members.searchResult.hint.multiResultTooManyPlayers"	"Displaying first %1$s of %2$s results"	"Original Translation
zh_CN: 显示前 %1$s 条结果，共 %2$s 条结果
zh_TW: 顯示前 %1$s/%2$s 結果"	""
"hbui.RealmsStories.members.searchResult.hint.noResult"	"No search results"	"Original Translation
zh_CN: 无搜索结果
zh_TW: 沒有搜尋結果"	""
"hbui.RealmsStories.members.searchResult.hint.oneResult"	"One search result"	"Original Translation
zh_CN: 一条搜索结果
zh_TW: 一個搜尋結果"	""
"hbui.RealmsStories.members.searchResult.name"	"Search Result"	"Original Translation
zh_CN: 搜索结果
zh_TW: 搜尋結果"	""
"hbui.RealmsStories.members.searchResult.role"	"Screen"	"Original Translation
zh_CN: 屏幕
zh_TW: 螢幕"	""
"hbui.RealmsStories.members.section"	"Section"	"Original Translation
zh_CN: Section
zh_TW: 區段"	""
"hbui.RealmsStories.members.sort.title"	"Sorting members of the Realm"	"Original Translation
zh_CN: 正在对 Realm 成员排序
zh_TW: 分類 Realm 的成員"	""
"hbui.RealmsStories.members.visitor"	"Visitor"	"Original Translation
zh_CN: 访客
zh_TW: 訪客"	""
"hbui.RealmsStories.members.warning"	"This Realm is too popular to list all the members"	"Original Translation
zh_CN: 这个 Realm 太受欢迎，无法列出所有成员
zh_TW: 這個 Realm 太受歡迎了，因此無法列出所有成員"	""
"hbui.RealmsStories.members.warning.optedOut"	"This Realm is too popular to list all opted-out members"	"Original Translation
zh_CN: 这个 Realm 太受欢迎，无法列出所有已选择退出的成员
zh_TW: 由於此 Realm 太受歡迎，因此無法列出所有已選擇退出的成員"	""
"hbui.RealmsStories.messages.button"	"Try again"	"Original Translation
zh_CN: 再试一次
zh_TW: 再試一次"	""
"hbui.RealmsStories.messages.noInternetBody"	"You're not connected to the internet right now. Reconnect to access Realms Stories."	"Original Translation
zh_CN: 你现在没有连接到互联网。请重新连接以访问 Realms 故事。
zh_TW: 你目前尚未連線至網際網路。請重新連線以存取 Realms Stories。"	""
"hbui.RealmsStories.messages.timelineEmpty.body"	"Play on the Realm to generate Timeline data."	"Original Translation
zh_CN: 在 Realm 上游玩以生成时间线数据。
zh_TW: 在 Realm 上遊玩，產生時間線資料。"	""
"hbui.RealmsStories.messages.timelineEmpty.title"	"No data available"	"Original Translation
zh_CN: 没有可用的数据
zh_TW: 沒有可用資料"	""
"hbui.RealmsStories.messages.timelineOff.body"	"The Realm owner has disabled the Timeline on this Realm."	"Original Translation
zh_CN: Realm 所有者已禁用此 Realm 上的时间线。
zh_TW: Realm 擁有者已在此領域中停用了時間軸。"	""
"hbui.RealmsStories.messages.timelineOff.title"	"The Timeline is disabled"	"Original Translation
zh_CN: 时间线已禁用
zh_TW: 時間線已停用"	""
"hbui.RealmsStories.messages.timelineOptIn.body"	"See when other members are playing to check out their creations or plan to join them next time! The Timeline shows when players were on the Realm. The bigger the colored block, the longer they played."	"Original Translation
zh_CN: 查看其他成员的游玩时间，了解他们的创作或计划，这样下一次就可以加入他们。时间线显示玩家在 Realm 上的时间。彩色方块越大，游玩时间就越长。
zh_TW: 查看其他成員何時在遊玩，以查看他們的創作或計劃下次加入他們！時間軸顯示玩家何時在 Realm 中。彩色方塊越大，他們已遊玩的時間就越長。"	""
"hbui.RealmsStories.messages.timelineOptIn.button"	"I want to opt in"	"Original Translation
zh_CN: 我想加入
zh_TW: 我想加入"	""
"hbui.RealmsStories.messages.timelineOptIn.maybeLaterButton"	"Maybe later"	"Original Translation
zh_CN: 以后再说
zh_TW: 稍後再說"	""
"hbui.RealmsStories.messages.timelineOptIn.members"	"Members who have opted in: %1$s/%2$s"	"Original Translation
zh_CN: 已选择加入的成员：%1$s/%2$s
zh_TW: 已選擇加入的成員：%1$s/%2$s"	""
"hbui.RealmsStories.messages.timelineOptIn.membersNarration"	"Members who have opted in: %1$s out of %2$s"	"Original Translation
zh_CN: 已选择加入的成员：%1$s/%2$s
zh_TW: 已選擇加入的成員：%1$s/%2$s"	""
"hbui.RealmsStories.messages.timelineOptIn.ownerRequire.body"	"Opt into the Timeline to start playing on the Realm."	"Original Translation
zh_CN: 选择加入时间线，从而在 Realm 上进行游戏。
zh_TW: 選擇加入時間軸以開始在 Realm 上遊玩。"	""
"hbui.RealmsStories.messages.timelineOptIn.ownerRequire.title"	"Realm owner requires opt-in to Timeline"	"Original Translation
zh_CN: Realm 拥有者需选择加入时间线
zh_TW: Realm 擁有者需要加入時間軸"	""
"hbui.RealmsStories.messages.timelineOptIn.requiredTitle"	"Opt in to timeline"	"Original Translation
zh_CN: 选择加入时间线
zh_TW: 選擇加入時間軸"	""
"hbui.RealmsStories.messages.timelineOptIn.textblock"	"Text block"	"Original Translation
zh_CN: 文字方块
zh_TW: 文字方塊"	""
"hbui.RealmsStories.messages.timelineOptIn.title"	"Opt in to check timeline"	"Original Translation
zh_CN: 选择加入以查看时间线
zh_TW: 選擇加入以查看時間軸"	""
"hbui.RealmsStories.messages.title"	"Realms Stories couldn't load!"	"Original Translation
zh_CN: Realms Stories 无法加载！
zh_TW: 無法載入 Realms Stories！"	""
"hbui.RealmsStories.messages.titleWithArg"	"%1$s couldn't load!"	"Original Translation
zh_CN: %1$s 无法加载！
zh_TW: %1$s 無法載入！"	""
"hbui.RealmsStories.messages.unknownErrorBody"	"We encountered an unknown error, please try again."	"Original Translation
zh_CN: 我们遇到了一个未知错误，请重试。
zh_TW: 發生未知的錯誤，請再試一次。"	""
"hbui.RealmsStories.narration.settings"	"Settings. Button"	"Original Translation
zh_CN: 设置。按钮
zh_TW: 設定。按鈕"	""
"hbui.RealmsStories.narration.title"	"Realms Stories"	"Original Translation
zh_CN: Realms Stories
zh_TW: Realms Stories"	""
"hbui.RealmsStories.narrationPlayerXOfY"	"%1$s of %2$s"	"Original Translation
zh_CN: 第 %1$s 个，共 %2$s 个
zh_TW: %1$s/%2$s"	""
"hbui.RealmsStories.new"	"New"	"Original Translation
zh_CN: 新建
zh_TW: 新"	""
"hbui.RealmsStories.oneUnreadStoryHint"	"You have 1 unread story"	"Original Translation
zh_CN: 你有 1 则未读故事
zh_TW: 您有 1 個未讀故事"	""
"hbui.RealmsStories.postedTo"	"Posted to %1$s"	"Original Translation
zh_CN: 发布到 %1$s
zh_TW: 已發布至 %1$s"	""
"hbui.RealmsStories.screen"	"%1$s Screen"	"Original Translation
zh_CN: %1$s屏幕
zh_TW: %1$s 畫面"	""
"hbui.RealmsStories.select"	"Select"	"Original Translation
zh_CN: 选择
zh_TW: 選取"	""
"hbui.RealmsStories.settings.header"	"%1$s Stories Settings"	"Original Translation
zh_CN: %1$s 故事设置
zh_TW: %1$s 故事設定"	""
